Type,Female,"Male Key",Non-Binary,"Female Display","Male Display","Non-Binary Display"
sex,female,male,nonbinary,,,
gender,woman,man,pperson,,,person
plural,women,men,"men and women",,,
"formal plural",ladies,gentlemen,"ladies and gentlemen",,,
parent,mother,father,parent,,,
grandparent,grandmother,grandfather,grandparent,,,
spouse,wife,husband,spouse,,,
child,girl,boy,childnb,,,child
children,girls,boys,"girls and boys",,,
offspring,daughter,son,childt,,,child
"offspring plural",daughters,sons,childrent,,,children
kid,lass,lad,kid,,,
sibling,sister,brother,sibling,,,
siblings,sisters,brothers,"brothers and sisters",,,
sovereign,princess,prince,sovereign,,,
"sovereign plural",princesses,princes,sovereigns,,,
ruler,queen,king,rulert,,,ruler
cousin,niece,nephew,"siblings child",,,
servant,housekeeper,butler,servantt,,,servant
servant2,housemaid,footman,servant2,,,servant
servant3,maid,groom,servant3,,,servant
"hair salon","beauty parlor","barber shop","hair salon",,,
insult,bitch,bastard,asshole,,,
insult2,vixen,knave,scamp,,,
insult3,skank,dick,asshole,,,
insult4,slut,sissy,whimp,,,
honorific1,ma-am,sir,"your honor1",,,"your honor"
honorific2,misss,ssir,"your honor2",miss,sir,"your honor"
honorific2p,missses,ssirs,"your honor2p",misses,sirs,"your honors"
honorific3,lady,lord,"your honor3",,,"your honor"
honorific3p,ladies,lords,"your honor3p",,,"their honors"
honorific3p2,ladies2,lords2,nobles3p2,ladies,lords,nobles
honorific4,duchess,duke,"your honor4",,,honored
honorific4p,duchesses,dukes,"your honor4p",,,honored
honorific42,duchess2,duke2,nobles2,,,noble
honorific4p2,duchesses2p,dukes2p,nobles2p,,,nobles
honorific5,madame,sird,"your honor5",,sir,"your honor"
honorific6,madam,sirm,"your honor6",,sir,"Your honor"
honorific7,countess,countt,honored7,,count,honored
honorific8,baroness,baron,"your honor8",,,honored
honorific9,vicountess,earl,"your honor9",,,
honorifi10,madam2,mister,honored10,madam,,honored
honorific11,marchioness,marquis,honored11,,,honored
honorific12,empress,emporer,soveriegn12,,,sovereign
honorific12p,empresses,emporers,soveriegn12p,,,sovereigns
knighted,damee,sirr,sirt,Dame,Sir,Sir
clothes1,skirt,trousers,trousersn,,,trousers
clothes2,dress,suit,suitn,,,trousers
clothes3,gown,tuxedo,outfit,,,
clothes4,pinafore,uniform,uniformm,,,uniform
clothes5,frock,frockk,frockkk,,clothes,clothes
